article_id,technique,start_char,end_char,source_file
111111111,Appeal_to_Authority,265,323,train-task2-TC.labels
111111111,Appeal_to_Authority,1795,1935,train-task2-TC.labels
111111111,Doubt,149,157,train-task2-TC.labels
111111111,Repetition,1069,1091,train-task2-TC.labels
111111111,Appeal_to_fear-prejudice,1334,1462,train-task2-TC.labels
111111111,Appeal_to_fear-prejudice,1577,1616,train-task2-TC.labels
111111111,Appeal_to_fear-prejudice,1856,1910,train-task2-TC.labels
111111111,Appeal_to_fear-prejudice,2023,2086,train-task2-TC.labels
111111112,Slogans,191,219,train-task2-TC.labels
111111112,Black-and-White_Fallacy,476,556,train-task2-TC.labels
111111112,Slogans,785,798,train-task2-TC.labels
111111112,Loaded_Language,958,1013,train-task2-TC.labels
111111112,Flag-Waving,1456,1535,train-task2-TC.labels
111111112,"Name_Calling,Labeling",1810,1824,train-task2-TC.labels
111111112,Loaded_Language,2095,2123,train-task2-TC.labels
111111112,Loaded_Language,911,942,train-task2-TC.labels
111111112,"Name_Calling,Labeling",1738,1787,train-task2-TC.labels
111111113,Loaded_Language,1396,1430,train-task2-TC.labels
111111113,"Name_Calling,Labeling",3082,3099,train-task2-TC.labels
111111113,"Whataboutism,Straw_Men,Red_Herring",3828,3985,train-task2-TC.labels
111111113,Causal_Oversimplification,361,467,train-task2-TC.labels
111111113,Causal_Oversimplification,3580,3741,train-task2-TC.labels
111111113,Causal_Oversimplification,4865,5006,train-task2-TC.labels
111111113,Loaded_Language,5743,5773,train-task2-TC.labels
111111113,Slogans,5775,5791,train-task2-TC.labels
111111113,Loaded_Language,259,279,train-task2-TC.labels
111111113,Loaded_Language,3658,3663,train-task2-TC.labels
111111113,"Name_Calling,Labeling",5556,5579,train-task2-TC.labels
111111114,Appeal_to_fear-prejudice,1705,1824,train-task2-TC.labels
111111115,Loaded_Language,658,700,train-task2-TC.labels
111111115,Loaded_Language,1870,1893,train-task2-TC.labels
111111115,Appeal_to_Authority,1655,1745,train-task2-TC.labels
111111115,Loaded_Language,2389,2418,train-task2-TC.labels
111111117,Causal_Oversimplification,671,753,train-task2-TC.labels
111111122,Loaded_Language,24,49,train-task2-TC.labels
111111122,"Exaggeration,Minimisation",170,205,train-task2-TC.labels
111111122,Loaded_Language,343,356,train-task2-TC.labels
111111122,Doubt,449,477,train-task2-TC.labels
111111122,Doubt,888,956,train-task2-TC.labels
111111122,"Name_Calling,Labeling",902,919,train-task2-TC.labels
111111122,Doubt,1475,1522,train-task2-TC.labels
111111122,Loaded_Language,1636,1655,train-task2-TC.labels
111111122,Loaded_Language,3210,3224,train-task2-TC.labels
111111122,Doubt,3413,3440,train-task2-TC.labels
111111122,"Exaggeration,Minimisation",3489,3519,train-task2-TC.labels
111111122,Doubt,3991,4046,train-task2-TC.labels
111111122,Loaded_Language,4449,4468,train-task2-TC.labels
111111122,"Name_Calling,Labeling",5027,5059,train-task2-TC.labels
111111122,Loaded_Language,5131,5140,train-task2-TC.labels
111111122,Appeal_to_Authority,5529,5653,train-task2-TC.labels
111111122,Loaded_Language,5778,5797,train-task2-TC.labels
111111122,Causal_Oversimplification,5840,5921,train-task2-TC.labels
111111122,Loaded_Language,5950,5981,train-task2-TC.labels
111111122,Loaded_Language,6441,6451,train-task2-TC.labels
111111122,"Name_Calling,Labeling",6839,6868,train-task2-TC.labels
111111123,Loaded_Language,4321,4333,train-task2-TC.labels
111111124,Loaded_Language,2650,2661,train-task2-TC.labels
111111124,Loaded_Language,4098,4110,train-task2-TC.labels
111111124,"Name_Calling,Labeling",4661,4760,train-task2-TC.labels
111111124,"Exaggeration,Minimisation",3368,3380,train-task2-TC.labels
111111124,Loaded_Language,0,17,train-task2-TC.labels
111111124,Loaded_Language,107,122,train-task2-TC.labels
111111124,Loaded_Language,282,338,train-task2-TC.labels
111111124,"Name_Calling,Labeling",510,540,train-task2-TC.labels
111111124,"Name_Calling,Labeling",2478,2501,train-task2-TC.labels
111111124,Loaded_Language,3557,3590,train-task2-TC.labels
111111124,Causal_Oversimplification,4170,4377,train-task2-TC.labels
111111124,Loaded_Language,4540,4575,train-task2-TC.labels
111111124,Doubt,4622,4760,train-task2-TC.labels
111111124,"Name_Calling,Labeling",4920,4935,train-task2-TC.labels
111111124,"Name_Calling,Labeling",4144,4164,train-task2-TC.labels
111111131,Loaded_Language,84,97,train-task2-TC.labels
111111131,Loaded_Language,102,109,train-task2-TC.labels
111111131,Loaded_Language,180,190,train-task2-TC.labels
111111131,Loaded_Language,207,214,train-task2-TC.labels
111111131,Loaded_Language,326,336,train-task2-TC.labels
111111131,Loaded_Language,352,365,train-task2-TC.labels
111111131,"Name_Calling,Labeling",382,395,train-task2-TC.labels
111111131,"Name_Calling,Labeling",398,413,train-task2-TC.labels
111111131,Loaded_Language,723,731,train-task2-TC.labels
111111131,"Exaggeration,Minimisation",804,811,train-task2-TC.labels
111111131,"Name_Calling,Labeling",823,865,train-task2-TC.labels
111111131,Black-and-White_Fallacy,1031,1068,train-task2-TC.labels
111111131,Loaded_Language,1191,1201,train-task2-TC.labels
111111131,"Name_Calling,Labeling",1977,1992,train-task2-TC.labels
111111131,Loaded_Language,2660,2671,train-task2-TC.labels
111111131,Loaded_Language,2728,2739,train-task2-TC.labels
111111131,Loaded_Language,2897,2908,train-task2-TC.labels
111111131,Loaded_Language,2912,2923,train-task2-TC.labels
111111131,Slogans,2953,2997,train-task2-TC.labels
111111131,Loaded_Language,3396,3416,train-task2-TC.labels
111111131,Loaded_Language,3437,3445,train-task2-TC.labels
111111131,Loaded_Language,3738,3748,train-task2-TC.labels
111111131,Loaded_Language,4008,4014,train-task2-TC.labels
111111131,Repetition,4030,4038,train-task2-TC.labels
111111131,"Name_Calling,Labeling",4152,4169,train-task2-TC.labels
111111131,Loaded_Language,4224,4230,train-task2-TC.labels
111111131,Loaded_Language,4256,4264,train-task2-TC.labels
111111131,Repetition,4339,4352,train-task2-TC.labels
111111131,Repetition,4531,4546,train-task2-TC.labels
111111131,Loaded_Language,4635,4643,train-task2-TC.labels
111111131,Loaded_Language,4752,4768,train-task2-TC.labels
111111131,Loaded_Language,4882,4899,train-task2-TC.labels
111111131,Loaded_Language,5174,5186,train-task2-TC.labels
111111131,"Exaggeration,Minimisation",5244,5262,train-task2-TC.labels
111111131,Repetition,5281,5289,train-task2-TC.labels
111111131,"Exaggeration,Minimisation",5369,5378,train-task2-TC.labels
111111131,Flag-Waving,5904,5916,train-task2-TC.labels
111111131,Repetition,5938,5950,train-task2-TC.labels
111111131,"Name_Calling,Labeling",6920,6937,train-task2-TC.labels
111111131,"Exaggeration,Minimisation",6957,6971,train-task2-TC.labels
111111131,"Name_Calling,Labeling",7314,7324,train-task2-TC.labels
111111131,Repetition,7700,7708,train-task2-TC.labels
111111132,Loaded_Language,7925,7943,train-task2-TC.labels
111111132,Loaded_Language,147,151,train-task2-TC.labels
111111132,"Name_Calling,Labeling",2262,2272,train-task2-TC.labels
111111132,"Name_Calling,Labeling",2280,2292,train-task2-TC.labels
111111132,Black-and-White_Fallacy,4198,4249,train-task2-TC.labels
111111132,Black-and-White_Fallacy,4427,4497,train-task2-TC.labels
111111132,Appeal_to_fear-prejudice,4307,4320,train-task2-TC.labels
111111132,Loaded_Language,4779,4787,train-task2-TC.labels
